scenario,profit,variance,violates_variance,has_capacity_clipping
118,7574920150.371395,889372004.1129032,False,True
119,7525452370.518707,1212480370.2167664,True,True
120,7563779713.001659,1020702234.3090922,False,True
121,7514570073.817111,1114131747.8810966,True,True
122,7517496958.3923235,1299615702.6333425,True,True
123,7555490780.639845,893047043.3018101,False,True
124,7520205441.9808,876978177.6194172,False,True
125,7531699111.493191,1051517108.188838,True,True
126,7570541783.570901,861331676.9768671,False,True
127,7586564705.453019,1064896026.6613775,True,True
128,7528112054.58618,1024858899.8803378,False,True
129,7524595543.407852,1108896829.1430986,True,True
130,7552457894.950389,1240695094.7478461,True,True
131,7537225542.791079,1208251589.3635137,True,True
132,7569391226.641012,979594311.3001598,False,True
133,7550007114.486665,1152093722.1969597,True,True
134,7589966668.9721,974483926.5885533,False,True
135,7499914806.235651,1158702958.9822404,True,True
136,7537123951.239554,1189812643.4876127,True,True
137,7536462773.091314,910397950.9511999,False,True
138,7521393205.302617,937057341.032197,False,True
139,7559253928.257608,878153475.5118257,False,True
140,7513061624.169422,973878689.7003633,False,True
141,7517838044.833863,1014472275.2261566,False,True
142,7535026391.87971,788621635.6957327,False,True
143,7551641183.70031,1080446244.3200192,True,True
144,7526223652.510307,1110669175.3520846,True,True
145,7531933997.460367,1146819417.1497896,True,True
146,7538001590.593421,821429758.3409342,False,True
147,7550812297.054264,1087680000.0816767,True,True
148,7528546367.377214,1108450619.1586695,True,True
149,7576005112.3070755,972295241.8903202,False,True
150,7512121843.081671,1005812370.3293113,False,True
151,7561820545.050217,1077269436.7749894,True,True
152,7563796917.541552,965165281.4028248,False,True
153,7518428964.403444,920265606.3250465,False,True
154,7553716227.433342,1123786732.6217902,True,True
155,7552886821.288565,1071004758.7549725,True,True
156,7560152375.072786,1060875416.8295723,True,True
157,7542097255.134883,1054107600.393392,True,True
158,7518075261.521665,914478490.0696907,False,True
159,7505635196.640836,1109559173.7866352,True,True
160,7556530344.323008,974955604.3650837,False,True
161,7570299475.751283,1096589344.2137108,True,True
162,7493133244.670666,1081501371.4194615,True,True
163,7532631641.699053,1025260840.650826,False,True
164,7529043982.236019,946363475.1172466,False,True
165,7555310906.415401,1136187852.5352387,True,True
166,7536368791.386286,1163482573.3825064,True,True
167,7539302986.3181095,915696382.1881027,False,True
168,7541622128.096754,967727093.4436927,False,True
169,7567756995.85324,1286484512.4297965,True,True
170,7539041024.994616,1060313641.8897768,True,True
171,7573523544.105499,1107376060.8510454,True,True
172,7561273403.423801,1220955442.6934795,True,True
173,7562650188.866601,1021705883.172398,False,True
174,7581068884.697644,1249252452.9587164,True,True
175,7542913751.585007,1022491254.6518993,False,True
176,7545470015.34592,1229564305.3697183,True,True
177,7516890467.078447,1028061655.1409801,False,True
178,7537248509.307395,1051538762.9897271,True,True
179,7543278027.527054,878227310.882306,False,True
180,7547619362.149188,940483334.1082724,False,True
181,7540171505.782328,1082174502.227619,True,True
182,7551708548.459564,1041430345.2304994,True,True
183,7515919707.197947,1039481289.4998564,True,True
184,7519142852.49678,1156480346.9518178,True,True
185,7565779646.849825,1114501196.7602737,True,True
186,7503927459.4890175,1023742003.1763309,False,True
187,7493888386.18001,1005691335.634676,False,True
188,7491820394.921285,1037151812.055607,True,True
189,7555481299.598284,1066338250.0477144,True,True
190,7542909505.85911,1091812596.6046631,True,True
191,7506255404.831639,1007291459.2249609,False,True
192,7565637646.1781225,1036443104.2914066,True,True
193,7491689051.8167,1037398611.6213593,True,True
194,7515826051.251708,975094258.9891351,False,True
195,7516065508.095614,1402151883.776508,True,True
196,7518770201.253936,868804333.742456,False,True
197,7510767706.477863,925135691.6460924,False,True
198,7536934058.901633,1148809299.2369573,True,True
199,7560447407.343533,1208853886.3054988,True,True
200,7546454000.792079,1150306545.357755,True,True
201,7565341855.716254,811561459.5740894,False,True
202,7518358935.45139,928089887.4835305,False,True
203,7523993494.949558,1017665070.4086751,False,True
204,7510102918.762553,974571575.6183167,False,True
205,7592003724.774981,979477007.4894029,False,True
206,7532290575.224159,877678279.6777495,False,True
